m,n,k
95600,2048,1408
98808,1408,2048
95704,1408,2048
114680,1408,2048
109752,1408,2048
79752,1408,2048
121496,1408,2048
97696,1408,2048
103640,1408,2048
86832,1408,2048
97864,1408,2048
82960,1408,2048
91200,2048,1408
109240,2048,1408
89704,2048,1408
98568,1408,2048
106408,2048,1408
100400,2048,1408
83376,1408,2048
98256,1408,2048
115568,1408,2048
87928,1408,2048
123688,1408,2048
54520,2048,1408
84856,1408,2048
90496,2048,1408
96752,2048,1408
102624,2048,1408
95112,2048,1408
90384,2048,1408
80600,1408,2048
81096,1408,2048
90760,2048,1408
93288,2048,1408
72928,1408,2048
97440,2048,1408
77216,2048,1408
30928,2048,1408
98848,2048,1408
64280,1408,2048
91744,2048,1408
82752,2048,1408
109688,2048,1408
92024,1408,2048
12384,2048,1408
68024,2048,1408
98976,1408,2048
130608,2048,1408
94408,1408,2048
64896,2048,1408
83576,2048,1408
102264,1408,2048
90384,1408,2048
87112,1408,2048
118448,2048,1408
98880,1408,2048
111840,1408,2048
106184,1408,2048
100696,1408,2048
98672,2048,1408
144960,1408,2048
101296,1408,2048
85544,2048,1408
115392,2048,1408
99080,2048,1408
93624,1408,2048
114680,2048,1408
138144,2048,1408
102112,1408,2048
97336,1408,2048
97768,2048,1408
98576,2048,1408
126104,2048,1408
106944,1408,2048
102816,2048,1408
67840,1408,2048
88712,1408,2048
45720,2048,1408
98296,1408,2048
81664,1408,2048
42736,1408,2048
100864,2048,1408
84264,2048,1408
74816,1408,2048
87792,1408,2048
97504,1408,2048
105160,1408,2048
97816,1408,2048
93688,2048,1408
96008,1408,2048
94984,1408,2048
93872,2048,1408
79360,1408,2048
83208,2048,1408
102264,2048,1408
131840,2048,1408
96008,2048,1408
73208,1408,2048
89488,1408,2048
38776,2048,1408
90760,1408,2048
125024,1408,2048
67216,1408,2048
74880,2048,1408
121056,1408,2048
91200,1408,2048
50512,2048,1408
96656,2048,1408
157496,1408,2048
120464,2048,1408
93288,1408,2048
73736,1408,2048
79632,2048,1408
107224,1408,2048
94496,1408,2048
104880,2048,1408
128904,1408,2048
66424,1408,2048
99616,1408,2048
90776,2048,1408
80528,2048,1408
121936,2048,1408
99952,1408,2048
83376,2048,1408
101552,1408,2048
96488,2048,1408
69448,2048,1408
99616,2048,1408
113800,1408,2048
98008,1408,2048
117448,1408,2048
101712,1408,2048
100264,2048,1408
87680,2048,1408
106096,1408,2048
99128,2048,1408
84552,2048,1408
100400,1408,2048
104824,2048,1408
96104,2048,1408
98648,2048,1408
81416,2048,1408
106688,2048,1408
151744,2048,1408
140416,1408,2048
102296,1408,2048
90464,1408,2048
106688,1408,2048
91472,1408,2048
107056,1408,2048
102816,1408,2048
74448,1408,2048
72840,1408,2048
86936,2048,1408
103920,1408,2048
96848,1408,2048
66248,1408,2048
93528,2048,1408
101784,1408,2048
94496,2048,1408
75456,2048,1408
118448,1408,2048
66176,2048,1408
75144,2048,1408
118160,1408,2048
78920,2048,1408
81520,2048,1408
101688,1408,2048
83208,1408,2048
67448,2048,1408
95112,1408,2048
116168,2048,1408
102616,2048,1408
94192,2048,1408
112232,2048,1408
50512,1408,2048
74448,2048,1408
100536,1408,2048
125656,2048,1408
104280,2048,1408
100840,1408,2048
126048,2048,1408
74880,1408,2048
87352,1408,2048
100528,1408,2048
83832,2048,1408
120088,2048,1408
98192,1408,2048
99000,1408,2048
87952,2048,1408
94344,2048,1408
73384,2048,1408
84552,1408,2048
105960,2048,1408
96208,2048,1408
127224,2048,1408
97864,2048,1408
82552,2048,1408
115568,2048,1408
121936,1408,2048
99968,2048,1408
101296,2048,1408
93792,2048,1408
96672,2048,1408
88496,1408,2048
121032,2048,1408
68024,1408,2048
77504,2048,1408
106432,2048,1408
86936,1408,2048
55432,2048,1408
120088,1408,2048
103128,1408,2048
93528,1408,2048
99424,1408,2048
63752,1408,2048
81968,2048,1408
74160,2048,1408
71456,2048,1408
40496,1408,2048
82664,1408,2048
96672,1408,2048
85544,1408,2048
64280,2048,1408
99080,1408,2048
99296,1408,2048
97072,2048,1408
37056,2048,1408
87248,2048,1408
101504,1408,2048
97768,1408,2048
105160,2048,1408
77216,1408,2048
123688,2048,1408
127224,1408,2048
127208,1408,2048
97696,2048,1408
65000,1408,2048
12384,1408,2048
90464,2048,1408
85536,2048,1408
86832,2048,1408
37056,1408,2048
98848,1408,2048
86464,2048,1408
102400,2048,1408
89344,2048,1408
103112,2048,1408
98568,2048,1408
136320,2048,1408
92560,2048,1408
127208,2048,1408
60752,2048,1408
101552,2048,1408
87176,1408,2048
69448,1408,2048
97224,2048,1408
96864,2048,1408
81272,1408,2048
120464,1408,2048
129584,1408,2048
118472,1408,2048
128904,2048,1408
97296,1408,2048
80600,2048,1408
104800,2048,1408
81096,2048,1408
120560,2048,1408
98808,2048,1408
97296,2048,1408
102112,2048,1408
121496,2048,1408
85800,2048,1408
97224,1408,2048
93880,1408,2048
109688,1408,2048
94408,2048,1408
101344,1408,2048
130608,1408,2048
64896,1408,2048
82960,2048,1408
98760,2048,1408
96488,1408,2048
94112,1408,2048
89704,1408,2048
100264,1408,2048
98256,2048,1408
87680,1408,2048
99128,1408,2048
116568,2048,1408
87928,2048,1408
100464,2048,1408
83576,1408,2048
113576,1408,2048
104824,1408,2048
90496,1408,2048
97336,2048,1408
73208,2048,1408
67448,1408,2048
87256,1408,2048
151744,1408,2048
108616,1408,2048
67840,2048,1408
98576,1408,2048
139872,1408,2048
97440,1408,2048
102624,1408,2048
98296,2048,1408
30928,1408,2048
45720,1408,2048
106096,2048,1408
92024,2048,1408
87840,1408,2048
74816,2048,1408
97504,2048,1408
91744,1408,2048
98976,2048,1408
84264,1408,2048
103128,2048,1408
76176,1408,2048
100696,2048,1408
75456,1408,2048
125024,2048,1408
111840,2048,1408
75144,1408,2048
131840,1408,2048
86112,2048,1408
81520,1408,2048
136320,1408,2048
105960,1408,2048
72928,2048,1408
93872,1408,2048
89232,2048,1408
93624,2048,1408
88712,2048,1408
87112,2048,1408
98008,2048,1408
99968,1408,2048
100464,1408,2048
106944,2048,1408
157496,2048,1408
96864,1408,2048
118160,2048,1408
95704,2048,1408
101344,2048,1408
87792,2048,1408
104880,1408,2048
55248,2048,1408
94984,2048,1408
120560,1408,2048
90776,1408,2048
81968,1408,2048
93688,1408,2048
103928,2048,1408
98672,1408,2048
79632,1408,2048
107056,2048,1408
87352,2048,1408
91880,1408,2048
101712,2048,1408
100864,1408,2048
89488,2048,1408
103920,2048,1408
40496,2048,1408
140416,2048,1408
67080,2048,1408
93792,1408,2048
99296,2048,1408
121032,1408,2048
121056,2048,1408
73736,2048,1408
101504,2048,1408
98648,1408,2048
71144,2048,1408
73384,1408,2048
81416,1408,2048
81664,2048,1408
121912,1408,2048
87256,2048,1408
85064,1408,2048
101688,2048,1408
66248,2048,1408
82928,2048,1408
87840,2048,1408
109240,1408,2048
90416,2048,1408
106408,1408,2048
76176,2048,1408
67080,1408,2048
115392,1408,2048
55248,1408,2048
128400,2048,1408
55432,1408,2048
126104,1408,2048
66176,1408,2048
78920,1408,2048
102400,1408,2048
63752,2048,1408
102616,1408,2048
112232,1408,2048
139872,2048,1408
100840,2048,1408
87176,2048,1408
128344,2048,1408
114664,1408,2048
104280,1408,2048
86464,1408,2048
102296,2048,1408
126048,1408,2048
91472,2048,1408
97000,1408,2048
80528,1408,2048
99000,2048,1408
129936,2048,1408
90416,1408,2048
85064,2048,1408
144960,2048,1408
72840,2048,1408
60752,1408,2048
42736,2048,1408
38776,1408,2048
94344,1408,2048
107224,2048,1408
82928,1408,2048
84856,2048,1408
83832,1408,2048
98880,2048,1408
101784,2048,1408
87952,1408,2048
128344,1408,2048
99424,2048,1408
138144,1408,2048
81256,1408,2048
79360,2048,1408
71144,1408,2048
82552,1408,2048
117448,2048,1408
85536,1408,2048
81272,2048,1408
103640,2048,1408
67216,2048,1408
100536,2048,1408
96656,1408,2048
126488,1408,2048
129584,2048,1408
77504,1408,2048
106432,1408,2048
121912,2048,1408
164816,2048,1408
98760,1408,2048
100528,2048,1408
94192,1408,2048
109752,2048,1408
98192,2048,1408
108616,2048,1408
116568,1408,2048
66424,2048,1408
93880,2048,1408
99952,2048,1408
96104,1408,2048
88104,1408,2048
96848,2048,1408
97072,1408,2048
94112,2048,1408
71456,1408,2048
113800,2048,1408
125656,1408,2048
164816,1408,2048
113576,2048,1408
54520,1408,2048
65000,2048,1408
118472,2048,1408
88496,2048,1408
87248,1408,2048
106184,2048,1408
86112,1408,2048
82752,1408,2048
97000,2048,1408
128400,1408,2048
85800,1408,2048
89344,1408,2048
97816,2048,1408
92560,1408,2048
96208,1408,2048
103928,1408,2048
