  Registered nvfp4_bench::_scaled_mm
Total configurations to benchmark: 502
Unique M values: 251
Unique N values: 2
m=95600, n=2048, k=1408, l=1
  Reference time: 0.3311 ms
  Best time: 0.5667 ms
  Registered time: 0.5670 ms
  Registration overhead: 0.0003 ms
m=98808, n=1408, k=2048, l=1
  Reference time: 0.3131 ms
  Best time: 0.4564 ms
  Registered time: 0.4563 ms
  Registration overhead: -0.0001 ms
m=95704, n=1408, k=2048, l=1
  Reference time: 0.3079 ms
  Best time: 0.4455 ms
  Registered time: 0.4441 ms
  Registration overhead: -0.0013 ms
m=114680, n=1408, k=2048, l=1
  Reference time: 0.3613 ms
  Best time: 0.5320 ms
  Registered time: 0.5287 ms
  Registration overhead: -0.0033 ms
m=109752, n=1408, k=2048, l=1
  Reference time: 0.3457 ms
  Best time: 0.5084 ms
  Registered time: 0.5060 ms
  Registration overhead: -0.0024 ms
m=79752, n=1408, k=2048, l=1
  Reference time: 0.2636 ms
  Best time: 0.3734 ms
  Registered time: 0.3735 ms
  Registration overhead: 0.0001 ms
m=121496, n=1408, k=2048, l=1
  Reference time: 0.3764 ms
  Best time: 0.5591 ms
  Registered time: 0.5591 ms
  Registration overhead: 0.0001 ms
m=97696, n=1408, k=2048, l=1
  Reference time: 0.3058 ms
  Best time: 0.4530 ms
  Registered time: 0.4525 ms
  Registration overhead: -0.0005 ms
m=103640, n=1408, k=2048, l=1
  Reference time: 0.3227 ms
  Best time: 0.4835 ms
  Registered time: 0.4789 ms
  Registration overhead: -0.0046 ms
m=86832, n=1408, k=2048, l=1
  Reference time: 0.2742 ms
  Best time: 0.4053 ms
  Registered time: 0.4040 ms
  Registration overhead: -0.0013 ms
m=97864, n=1408, k=2048, l=1
  Reference time: 0.3137 ms
  Best time: 0.4542 ms
  Registered time: 0.4541 ms
  Registration overhead: -0.0001 ms
m=82960, n=1408, k=2048, l=1
  Reference time: 0.2652 ms
  Best time: 0.3889 ms
  Registered time: 0.3878 ms
  Registration overhead: -0.0011 ms
m=91200, n=2048, k=1408, l=1
  Reference time: 0.3202 ms
  Best time: 0.5507 ms
  Registered time: 0.5417 ms
  Registration overhead: -0.0089 ms
m=109240, n=2048, k=1408, l=1
  Reference time: 0.3795 ms
  Best time: 0.6411 ms
  Registered time: 0.6406 ms
  Registration overhead: -0.0005 ms
m=89704, n=2048, k=1408, l=1
  Reference time: 0.3157 ms
  Best time: 0.5366 ms
  Registered time: 0.5363 ms
  Registration overhead: -0.0004 ms
m=98568, n=1408, k=2048, l=1
  Reference time: 0.3146 ms
  Best time: 0.4565 ms
  Registered time: 0.4566 ms
  Registration overhead: 0.0001 ms
m=106408, n=2048, k=1408, l=1
  Reference time: 0.3717 ms
  Best time: 0.6368 ms
  Registered time: 0.6272 ms
  Registration overhead: -0.0096 ms
m=100400, n=2048, k=1408, l=1
  Reference time: 0.3462 ms
  Best time: 0.5958 ms
  Registered time: 0.5943 ms
  Registration overhead: -0.0014 ms
m=83376, n=1408, k=2048, l=1
  Reference time: 0.2657 ms
  Best time: 0.3894 ms
  Registered time: 0.3888 ms
  Registration overhead: -0.0006 ms
m=98256, n=1408, k=2048, l=1
  Reference time: 0.3139 ms
  Best time: 0.4560 ms
  Registered time: 0.4548 ms
  Registration overhead: -0.0012 ms
m=115568, n=1408, k=2048, l=1
  Reference time: 0.3603 ms
  Best time: 0.5350 ms
  Registered time: 0.5321 ms
  Registration overhead: -0.0029 ms
m=87928, n=1408, k=2048, l=1
  Reference time: 0.2805 ms
  Best time: 0.4103 ms
  Registered time: 0.4091 ms
  Registration overhead: -0.0011 ms
m=123688, n=1408, k=2048, l=1
  Reference time: 0.3870 ms
  Best time: 0.5710 ms
  Registered time: 0.5709 ms
  Registration overhead: -0.0001 ms
m=54520, n=2048, k=1408, l=1
  Reference time: 0.2255 ms
  Best time: 0.3285 ms
  Registered time: 0.3277 ms
  Registration overhead: -0.0007 ms
m=84856, n=1408, k=2048, l=1
  Reference time: 0.2793 ms
  Best time: 0.3956 ms
  Registered time: 0.3957 ms
  Registration overhead: 0.0001 ms
m=90496, n=2048, k=1408, l=1
  Reference time: 0.3087 ms
  Best time: 0.5383 ms
  Registered time: 0.5382 ms
  Registration overhead: -0.0001 ms
m=96752, n=2048, k=1408, l=1
  Reference time: 0.3363 ms
  Best time: 0.5748 ms
  Registered time: 0.5740 ms
  Registration overhead: -0.0008 ms
m=102624, n=2048, k=1408, l=1
  Reference time: 0.3523 ms
  Best time: 0.6068 ms
  Registered time: 0.6067 ms
  Registration overhead: -0.0001 ms
m=95112, n=2048, k=1408, l=1
  Reference time: 0.3285 ms
  Best time: 0.5735 ms
  Registered time: 0.5681 ms
  Registration overhead: -0.0054 ms
m=90384, n=2048, k=1408, l=1
  Reference time: 0.3155 ms
  Best time: 0.5420 ms
  Registered time: 0.5383 ms
  Registration overhead: -0.0037 ms
m=80600, n=1408, k=2048, l=1
  Reference time: 0.2628 ms
  Best time: 0.3772 ms
  Registered time: 0.3772 ms
  Registration overhead: 0.0001 ms
m=81096, n=1408, k=2048, l=1
  Reference time: 0.2636 ms
  Best time: 0.3787 ms
  Registered time: 0.3788 ms
  Registration overhead: 0.0001 ms
m=90760, n=2048, k=1408, l=1
  Reference time: 0.3172 ms
  Best time: 0.5495 ms
  Registered time: 0.5418 ms
  Registration overhead: -0.0078 ms
m=93288, n=2048, k=1408, l=1
  Reference time: 0.3294 ms
  Best time: 0.5607 ms
  Registered time: 0.5556 ms
  Registration overhead: -0.0051 ms
m=72928, n=1408, k=2048, l=1
  Reference time: 0.2391 ms
  Best time: 0.3441 ms
  Registered time: 0.3443 ms
  Registration overhead: 0.0001 ms
m=97440, n=2048, k=1408, l=1
  Reference time: 0.3354 ms
  Best time: 0.5799 ms
  Registered time: 0.5791 ms
  Registration overhead: -0.0008 ms
m=77216, n=2048, k=1408, l=1
